# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20170304,   92,   62,  132
  260,20170305,   69,   38,  106
  260,20170306,   60,   32,   95
  260,20170307,   67,   45,   94
  260,20170308,   59,    8,  106
  260,20170309,   77,    7,  128
  260,20170310,   65,   -9,  112
  260,20170311,   73,   15,  130
  260,20170312,   79,   14,  148
  260,20170313,   65,   -5,  137
  260,20170314,   88,   32,  149
  260,20170315,   90,   16,  139
  260,20170316,   94,   11,  168
  260,20170317,   83,   67,  103
  260,20170318,   97,   74,  127
  260,20170319,  113,   98,  127
  260,20170320,  103,   88,  115
  260,20170321,   75,   13,   98
  260,20170322,   63,   -3,  124
  260,20170323,   82,   19,  140
  260,20170324,   84,   31,  142
  260,20170325,   85,   21,  143
  260,20170326,   80,   33,  130
  260,20170327,   92,   18,  174
  260,20170328,  113,    6,  197
  260,20170329,  126,  103,  147
  260,20170330,  157,  108,  218
  260,20170331,  145,   89,  218
  260,20170401,  108,   60,  141
  260,20170402,  103,   44,  169
  260,20170403,   81,   27,  143
  260,20170404,   98,   22,  165
  260,20170405,   92,   62,  128
  260,20170406,   81,   38,  118
  260,20170407,  105,   73,  138
  260,20170408,   96,   29,  155
  260,20170409,  117,    8,  210
  260,20170410,   98,   41,  155
  260,20170411,   96,   23,  138
  260,20170412,   98,   83,  119
  260,20170413,   93,   60,  133
  260,20170414,   99,   65,  130
  260,20170415,   96,   65,  121
  260,20170416,   79,   50,  108
  260,20170417,   65,   27,  109
  260,20170418,   61,    8,  111
  260,20170419,   39,  -13,   83
  260,20170420,   69,  -34,  129
  260,20170421,  111,   82,  149
  260,20170422,   78,   40,  113
  260,20170423,   66,   20,  114
  260,20170424,   93,   52,  130
  260,20170425,   59,   21,   99
  260,20170426,   50,  -14,  104
  260,20170427,   61,  -20,  109
  260,20170428,   76,   30,  117
  260,20170429,   76,    5,  140
  260,20170430,  123,   33,  184
  260,20170501,  117,   82,  137
  260,20170502,  100,   47,  152
  260,20170503,  107,   77,  152
  260,20170504,  104,   77,  133
  260,20170505,   89,   66,  111
  260,20170506,  128,   59,  188
  260,20170507,  117,   86,  162
  260,20170508,   97,   43,  153
  260,20170509,   80,   11,  138
  260,20170510,   90,   -1,  159
  260,20170511,  154,   47,  228
  260,20170512,  155,  120,  212
  260,20170513,  140,   85,  190
  260,20170514,  134,   66,  199
  260,20170515,  149,   55,  212
  260,20170516,  204,  152,  262
  260,20170517,  223,  144,  284
  260,20170518,  165,  144,  211
  260,20170519,  136,  105,  167
  260,20170520,  125,   74,  173
  260,20170521,  144,   54,  202
  260,20170522,  176,   81,  246
  260,20170523,  161,   99,  210
  260,20170524,  159,   90,  223
  260,20170525,  174,   92,  230
  260,20170526,  203,  110,  266
  260,20170527,  229,  160,  319
  260,20170528,  205,  149,  266
  260,20170529,  219,  154,  286
  260,20170530,  183,  155,  212
  260,20170531,  174,  107,  222
  260,20170601,  166,   75,  234
  260,20170602,  198,  108,  266
